id,title_romaji,title_english,average_score,genres,start_year,status,chapters,volumes,staff_names
30418,Mushishi,Mushishi,85,"Drama, Fantasy, Mystery, Slice of Life, Supernatural",1999,FINISHED,50.0,10.0,"Yuki Urushibara, William Flanagan, Olinda Cordukes"
100568,Supyeongseon,The Horizon,85,"Adventure, Drama, Psychological",2016,FINISHED,21.0,3.0,"Ji-Hun Jeong, Abigail Blackman"
41054,Billy Bat,Billy Bat,85,"Drama, Mystery, Supernatural, Thriller",2008,FINISHED,165.0,20.0,"Naoki Urasawa, Takashi Nagasaki, Sylvain Chollet, Verónica Calafell, Jiaxiang Xu, Yvonne Gerstheimer"
30651,Kaze no Tani no Nausicaä,Nausicaä of the Valley of the Wind,85,"Action, Adventure, Drama, Fantasy, Sci-Fi",1982,FINISHED,59.0,7.0,"Hayao Miyazaki, Marc Bernabé, Nacha Medrano, Dirce Miyamura, Miriam Tomi, Miho Sasamori, Marcelo Del Greco, Júlio Moreno"
85189,Mob Psycho 100,Mob Psycho 100,85,"Action, Comedy, Drama, Psychological, Slice of Life, Supernatural",2012,FINISHED,113.0,16.0,"ONE, koya, Kumar Sivasubramanian, Felipe Monte, Pablo Tschopp, Lasse Christiansen, Mokey King, Trang Nguyễn, Nathalia Ferreyra, Diógenes Dih"
74347,One Punch-Man,One-Punch Man,85,"Action, Comedy, Sci-Fi, Supernatural",2012,RELEASING,,,"Yuusuke Murata, ONE, Natsuki Kusakabe, Atsushi Nakamura, Hakkou Ookuma, Paweł Dybała, Beatriz Poszar, Lídia Ivasa, John Schmitt-Weigand, Tomoyuki Katou, Chiara Antonelli, Paolo Gattone, Arion Lian Wu, Mokey King, Trang Nguyễn, Jun Matsuura, Genki Miyoshi, Wataru Iwanaga, Miho Iwanaga, Bruno Zago, Bruno Zago, Diógenes Dih, Alessio Ravazzani, Aude Boyer, Ricardo Santana"
70171,Yahari Ore no Seishun Love Come wa Machigatteiru.,"My Youth Romantic Comedy Is Wrong, As I Expected",85,"Comedy, Drama, Romance, Slice of Life",2011,FINISHED,168.0,18.0,"Wataru Watari, Ponkan 8, Jennifer Ward"
31859,Natsume Yuujinchou,Natsume's Book of Friends,85,"Drama, Supernatural",2003,RELEASING,,,"Yuki Midorikawa, Trait pour Trait, Yuki Kakiichi, Tomiko Suzuki, Dariusz Latoś"
30745,PLUTO,Pluto,85,"Drama, Mecha, Mystery, Psychological, Sci-Fi",2003,FINISHED,65.0,8.0,"Naoki Urasawa, Osamu Tezuka, Frederik Schodt, Makoto Tezuka, Takashi Nagasaki, Marc Bernabé, Thibaud Desbief, Beth Kodama, Dirce Miyamura, Jürgen Seebeck, Jared Cook, Verónica Calafell, Radosław Bolałek, Diógenes Dih, Sipei Yu"
146983,Sayonara Eri,"Goodbye, Eri",85,"Drama, Psychological",2022,FINISHED,1.0,1.0,"Tatsuki Fujimoto, Tooru Kuramori, Hanachika Toyama, Kai Kyou, Sébastien Ludmann, Amanda Haley, Beatriz Poszar, Felipe Monte, Snir Aharon, Gandalf Bartholomäus, Yoshimura Misaki, Sou Nishida, Agnieszka Zychma, Atsuka Yamagata"
