manga_id,title_romaji,title_english,title_native,format,popularity,average_score,start_date,end_date,status,chapters,volumes
112544,Kowloon Generic Romance,Kowloon Generic Romance,九龍ジェネリックロマンス,MANGA,18174,77,2019-11-07,,RELEASING,0.0,0.0
112579,My Broken Mariko,My Broken Mariko,マイ・ブロークン・マリコ,MANGA,28070,78,2019-07-16,2019-12-17,FINISHED,6.0,1.0
112621,Lonely Girl ni Sakaraenai,I Can't Say No to the Lonely Girl,ロンリーガールに逆らえない,MANGA,17015,78,2019-10-18,2022-10-18,FINISHED,37.0,6.0
112690,Link and Ring,Link and Ring,リンク アンド リング,MANGA,1903,77,2016-06-24,2019-03-25,FINISHED,7.0,1.0
112709,Bleach: Can't Fear Your Own World,Bleach: Can't Fear Your Own World,BLEACH Can't Fear Your Own World,NOVEL,3281,81,2017-08-04,2018-12-04,FINISHED,32.0,3.0
112978,Amigara Dansou no Kai,The Enigma of Amigara Fault,阿彌殻断層の怪,ONE_SHOT,9703,76,2000-12-30,2000-12-30,FINISHED,1.0,0.0
112981,Kubo-san wa Mob wo Yurusanai,Kubo Won't Let Me Be Invisible,久保さんは僕を許さない,MANGA,38622,78,2019-10-24,2023-03-02,FINISHED,158.0,12.0
113055,Jaehon Hwanghu,The Remarried Empress,재혼 황후,MANGA,18446,78,2019-10-24,,RELEASING,0.0,0.0
113168,Genjitsu Touhi Shitetara Boroboro ni Natta Hanashi,My Alcoholic Escape from Reality,現実逃避してたらボロボロになった話,MANGA,5942,77,2019-11-07,2019-11-07,FINISHED,13.0,1.0
113326,Uleongkangdo,Robber X Lover,우렁강도,MANGA,6904,78,2019-07-17,2021-06-29,FINISHED,105.0,0.0
113340,Ije God Chugseubnida,Death's Game,이제 곧 죽습니다,MANGA,8286,78,2019-04-18,2020-07-16,FINISHED,66.0,6.0
113350,Jing Jiu,Pirouette into My Heart,经久,MANGA,6298,81,2019-10-02,2023-03-09,FINISHED,161.0,3.0
113352,Gu Shi Yu Ni: 300 Tian,Not Recorded,顾事与你：值日300天,MANGA,1295,77,2019-03-02,2020-10-30,FINISHED,87.0,0.0
113488,Yakanyeongung,Weak Hero,약한영웅,MANGA,19523,78,2018-05-05,2023-10-14,FINISHED,268.0,19.0
113533,Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,The Angel Next Door Spoils Me Rotten,お隣の天使様にいつの間にか駄目人間にされていた件,NOVEL,8756,83,2019-06-14,,RELEASING,0.0,0.0
113868,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen - Tanpenshuu,Ascendance of a Bookworm: Short Story Collection,本好きの下剋上~司書になるためには手段を選んでいられません~ 短編集,NOVEL,616,79,2019-10-10,,RELEASING,0.0,0.0
113869,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Dai 5-bu - Megami no Keshin,Ascendance of a Bookworm: Part 5,本好きの下剋上～司書になるためには手段を選んでいられません～第五部「女神の化身」,NOVEL,1881,88,2020-03-10,2023-12-09,FINISHED,256.0,12.0
113891,Souyaku Toaru Majutsu no Index,Not Recorded,創約とある魔術の禁書目録,NOVEL,1839,83,2020-02-07,,RELEASING,0.0,0.0
113981,Teito Seihai Kitan: Fate/type Redline,Not Recorded,帝都聖杯奇譚 Fate/type Redline,MANGA,8921,80,2019-12-20,,RELEASING,0.0,0.0
114003,Kakeochi Girl,"Run Away With Me, Girl",かけおちガール,MANGA,12602,81,2018-10-25,2020-02-25,FINISHED,19.0,3.0
114027,Boy meets Maria,Boy Meets Maria,ボーイミーツマリア,MANGA,19759,81,2017-10-28,2018-08-28,FINISHED,7.0,1.0
